[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
151,100,1,1,50,100,100,1.5,33
143,100,1,1,50,100,100,1.5,26
145,100,1,1,50,100,100,1.5,23
154,100,1,1,50,100,100,1.5,42
160,100,1,1,50,100,100,1.5,21
158,100,1,1,50,100,100,1.5,24
153,100,1,1,50,100,100,1.5,21
163,100,1,1,50,100,100,1.5,20
162,100,1,1,50,100,100,1.5,24
142,100,1,1,50,100,100,1.5,30
156,100,1,1,50,100,100,1.5,40
168,100,1,1,50,100,100,1.5,18
161,100,1,1,50,100,100,1.5,29
166,100,1,1,50,100,100,1.5,21
149,100,1,1,50,100,100,1.5,28
169,100,1,1,50,100,100,1.5,23
167,100,1,1,50,100,100,1.5,22
159,100,1,1,50,100,100,1.5,36
146,100,1,1,50,100,100,1.5,35
144,100,1,1,50,100,100,1.5,34
164,100,1,1,50,100,100,1.5,31
173,100,1,1,50,100,100,1.5,29
174,100,1,1,50,100,100,1.5,29
170,100,1,1,50,100,100,1.5,26
176,100,1,1,50,100,100,1.5,34
178,100,1,1,50,100,100,1.5,31
179,100,1,1,50,100,100,1.5,36
165,100,1,1,50,100,100,1.5,26
157,100,1,1,50,100,100,1.5,34
175,100,1,1,50,100,100,1.5,42
187,100,1,1,50,100,100,1.5,19
186,100,1,1,50,100,100,1.5,25
171,100,1,1,50,100,100,1.5,50
184,100,1,1,50,100,100,1.5,26
185,100,1,1,50,100,100,1.5,29
182,100,1,1,50,100,100,1.5,28
172,100,1,1,50,100,100,1.5,30
188,100,1,1,50,100,100,1.5,23
183,100,1,1,50,100,100,1.5,29
192,100,1,1,50,100,100,1.5,16
180,100,1,1,50,100,100,1.5,29
189,100,1,1,50,100,100,1.5,45
194,100,1,1,50,100,100,1.5,22
193,100,1,1,50,100,100,1.5,26
195,100,1,1,50,100,100,1.5,30
197,100,1,1,50,100,100,1.5,22
181,100,1,1,50,100,100,1.5,33
191,100,1,1,50,100,100,1.5,33
200,100,1,1,50,100,100,1.5,24
202,100,1,1.5,50,100,100,1.5,21
177,100,1,1,50,100,100,1.5,21
190,100,1,1,50,100,100,1.5,35
196,100,1,1,50,100,100,1.5,52
199,100,1,1,50,100,100,1.5,28
201,100,1,1.5,50,100,100,1.5,24
205,100,1,1.5,50,100,100,1.5,41
206,100,1,1.5,50,100,100,1.5,32
207,100,1,1.5,50,100,100,1.5,34
204,100,1,1.5,50,100,100,1.5,55
198,100,1,1,50,100,100,1.5,27
213,100,1,1.5,50,100,100,1.5,20
215,100,1,1.5,50,100,100,1.5,17
211,100,1,1.5,50,100,100,1.5,26
203,100,1,1.5,50,100,100,1.5,34
214,100,1,1.5,50,100,100,1.5,20
208,100,1,1.5,50,100,100,1.5,55
212,100,1,1.5,50,100,100,1.5,73
221,100,1,1.5,50,100,100,1.5,31
219,100,1,1.5,50,100,100,1.5,27
217,100,1,1.5,50,100,100,1.5,29
210,100,1,1.5,50,100,100,1.5,30
224,100,1,1.5,50,100,100,1.5,27
220,100,1,1.5,50,100,100,1.5,35
225,100,1,1.5,50,100,100,1.5,36
209,100,1,1.5,50,100,100,1.5,40
216,100,1,1.5,50,100,100,1.5,26
218,100,1,1.5,50,100,100,1.5,25
228,100,1,1.5,50,100,100,1.5,29
227,100,1,1.5,50,100,100,1.5,23
229,100,1,1.5,50,100,100,1.5,24
231,100,1,1.5,50,100,100,1.5,37
240,100,1,1.5,50,100,100,1.5,22
236,100,1,1.5,50,100,100,1.5,20
230,100,1,1.5,50,100,100,1.5,29
223,100,1,1.5,50,100,100,1.5,58
239,100,1,1.5,50,100,100,1.5,27
234,100,1,1.5,50,100,100,1.5,47
238,100,1,1.5,50,100,100,1.5,25
232,100,1,1.5,50,100,100,1.5,42
242,100,1,1.5,50,100,100,1.5,37
235,100,1,1.5,50,100,100,1.5,29
233,100,1,1.5,50,100,100,1.5,32
226,100,1,1.5,50,100,100,1.5,32
246,100,1,1.5,50,100,100,1.5,23
243,100,1,1.5,50,100,100,1.5,37
248,100,1,1.5,50,100,100,1.5,30
253,100,1,1.5,50,100,100,1.5,19
249,100,1,1.5,50,100,100,1.5,23
244,100,1,1.5,50,100,100,1.5,29
241,100,1,1.5,50,100,100,1.5,25
222,100,1,1.5,50,100,100,1.5,68
252,100,1,1.5,50,100,100,1.5,34
247,100,1,1.5,50,100,100,1.5,22
237,100,1,1.5,50,100,100,1.5,43
245,100,1,1.5,50,100,100,1.5,67
256,100,1,1.5,50,100,100,1.5,20
259,100,1,1.5,50,100,100,1.5,28
257,100,1,1.5,50,100,100,1.5,32
261,100,1,1.5,50,100,100,1.5,25
260,100,1,1.5,50,100,100,1.5,23
258,100,1,1.5,50,100,100,1.5,41
251,100,1,1.5,50,100,100,1.5,27
254,100,1,1.5,50,100,100,1.5,38
255,100,1,1.5,50,100,100,1.5,31
264,100,1,1.5,50,100,100,1.5,43
267,100,1,1.5,50,100,100,1.5,27
272,100,1,1.5,50,100,100,1.5,22
271,100,1,1.5,50,100,100,1.5,23
250,100,1,1.5,50,100,100,1.5,26
270,100,1,1.5,50,100,100,1.5,40
262,100,1,1.5,50,100,100,1.5,25
265,100,1,1.5,50,100,100,1.5,22
273,100,1,1.5,50,100,100,1.5,33
268,100,1,1.5,50,100,100,1.5,36
269,100,1,1.5,50,100,100,1.5,60
277,100,1,1.5,50,100,100,1.5,32
263,100,1,1.5,50,100,100,1.5,32
279,100,1,1.5,50,100,100,1.5,27
266,100,1,1.5,50,100,100,1.5,35
282,100,1,1.5,50,100,100,1.5,30
278,100,1,1.5,50,100,100,1.5,36
286,100,1,1.5,50,100,100,1.5,27
275,100,1,1.5,50,100,100,1.5,24
288,100,1,1.5,50,100,100,1.5,22
274,100,1,1.5,50,100,100,1.5,26
287,100,1,1.5,50,100,100,1.5,34
281,100,1,1.5,50,100,100,1.5,17
290,100,1,1.5,50,100,100,1.5,26
292,100,1,1.5,50,100,100,1.5,27
293,100,1,1.5,50,100,100,1.5,24
294,100,1,1.5,50,100,100,1.5,22
280,100,1,1.5,50,100,100,1.5,80
285,100,1,1.5,50,100,100,1.5,70
296,100,1,1.5,50,100,100,1.5,28
298,100,1,1.5,50,100,100,1.5,27
276,100,1,1.5,50,100,100,1.5,37
303,100,1,2,50,100,100,1.5,21
284,100,1,1.5,50,100,100,1.5,50
300,100,1,1.5,50,100,100,1.5,37
305,100,1,2,50,100,100,1.5,20
302,100,1,2,50,100,100,1.5,31
297,100,1,1.5,50,100,100,1.5,23
301,100,1,2,50,100,100,1.5,41
283,100,1,1.5,50,100,100,1.5,31
304,100,1,2,50,100,100,1.5,43
299,100,1,1.5,50,100,100,1.5,29
295,100,1,1.5,50,100,100,1.5,23
289,100,1,1.5,50,100,100,1.5,47
311,100,1,2,50,100,100,1.5,29
306,100,1,2,50,100,100,1.5,80
315,100,1,2,50,100,100,1.5,28
313,100,1,2,50,100,100,1.5,52
308,100,1,2,50,100,100,1.5,21
312,100,1,2,50,100,100,1.5,59
310,100,1,2,50,100,100,1.5,21
323,100,1,2,50,100,100,1.5,33
291,100,1,1.5,50,100,100,1.5,20
317,100,1,2,50,100,100,1.5,74
319,100,1,2,50,100,100,1.5,21
309,100,1,2,50,100,100,1.5,135
322,100,1,2,50,100,100,1.5,48
314,100,1,2,50,100,100,1.5,23
324,100,1,2,50,100,100,1.5,70
318,100,1,2,50,100,100,1.5,48
326,100,1,2,50,100,100,1.5,66
321,100,1,2,50,100,100,1.5,74
333,100,1,2,50,100,100,1.5,35
328,100,1,2,50,100,100,1.5,55
330,100,1,2,50,100,100,1.5,49
307,100,1,2,50,100,100,1.5,204
339,100,1,2,50,100,100,1.5,26
336,100,1,2,50,100,100,1.5,23
329,100,1,2,50,100,100,1.5,38
335,100,1,2,50,100,100,1.5,84
340,100,1,2,50,100,100,1.5,25
338,100,1,2,50,100,100,1.5,81
325,100,1,2,50,100,100,1.5,90
332,100,1,2,50,100,100,1.5,204
343,100,1,2,50,100,100,1.5,84
347,100,1,2,50,100,100,1.5,23
327,100,1,2,50,100,100,1.5,103
337,100,1,2,50,100,100,1.5,111
346,100,1,2,50,100,100,1.5,51
352,100,1,2,50,100,100,1.5,21
348,100,1,2,50,100,100,1.5,57
342,100,1,2,50,100,100,1.5,141
355,100,1,2,50,100,100,1.5,34
331,100,1,2,50,100,100,1.5,130
351,100,1,2,50,100,100,1.5,74
344,100,1,2,50,100,100,1.5,70
357,100,1,2,50,100,100,1.5,23
350,100,1,2,50,100,100,1.5,112
356,100,1,2,50,100,100,1.5,37
353,100,1,2,50,100,100,1.5,26
358,100,1,2,50,100,100,1.5,22
361,100,1,2,50,100,100,1.5,23
341,100,1,2,50,100,100,1.5,187
365,100,1,2,50,100,100,1.5,25
364,100,1,2,50,100,100,1.5,55
363,100,1,2,50,100,100,1.5,45
367,100,1,2,50,100,100,1.5,45
359,100,1,2,50,100,100,1.5,109
316,100,1,2,50,100,100,1.5,196
362,100,1,2,50,100,100,1.5,38
371,100,1,2,50,100,100,1.5,20
370,100,1,2,50,100,100,1.5,25
369,100,1,2,50,100,100,1.5,40
320,100,1,2,50,100,100,1.5,217
374,100,1,2,50,100,100,1.5,30
334,100,1,2,50,100,100,1.5,202
366,100,1,2,50,100,100,1.5,58
373,100,1,2,50,100,100,1.5,70
376,100,1,2,50,100,100,1.5,24
378,100,1,2,50,100,100,1.5,38
379,100,1,2,50,100,100,1.5,22
368,100,1,2,50,100,100,1.5,132
377,100,1,2,50,100,100,1.5,81
354,100,1,2,50,100,100,1.5,262
375,100,1,2,50,100,100,1.5,45
386,100,1,2,50,100,100,1.5,40
387,100,1,2,50,100,100,1.5,35
384,100,1,2,50,100,100,1.5,60
383,100,1,2,50,100,100,1.5,27
388,100,1,2,50,100,100,1.5,49
389,100,1,2,50,100,100,1.5,39
380,100,1,2,50,100,100,1.5,38
390,100,1,2,50,100,100,1.5,35
360,100,1,2,50,100,100,1.5,132
392,100,1,2,50,100,100,1.5,20
372,100,1,2,50,100,100,1.5,205
382,100,1,2,50,100,100,1.5,32
396,100,1,2,50,100,100,1.5,25
385,100,1,2,50,100,100,1.5,51
393,100,1,2,50,100,100,1.5,29
394,100,1,2,50,100,100,1.5,37
397,100,1,2,50,100,100,1.5,43
381,100,1,2,50,100,100,1.5,172
349,100,1,2,50,100,100,1.5,225
391,100,1,2,50,100,100,1.5,52
345,100,1,2,50,100,100,1.5,246
400,100,1,2,50,100,100,1.5,32
408,100,2,0.5,50,100,100,1.5,19
401,100,2,0.5,50,100,100,1.5,29
