[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
172,100,10,0.1,50,100,100,1,24
171,100,10,0.1,50,100,100,1,25
165,100,10,0.1,50,100,100,1,22
173,100,10,0.1,50,100,100,1,24
179,100,10,0.1,50,100,100,1,23
176,100,10,0.1,50,100,100,1,25
175,100,10,0.1,50,100,100,1,25
178,100,10,0.1,50,100,100,1,29
181,100,10,0.1,50,100,100,1,29
182,100,10,0.1,50,100,100,1,34
183,100,10,0.1,50,100,100,1,26
162,100,10,0.1,50,100,100,1,33
184,100,10,0.1,50,100,100,1,24
186,100,10,0.1,50,100,100,1,26
188,100,10,0.1,50,100,100,1,27
189,100,10,0.1,50,100,100,1,27
143,100,10,0.1,50,100,100,1,39
191,100,10,0.1,50,100,100,1,29
187,100,10,0.1,50,100,100,1,33
192,100,10,0.1,50,100,100,1,23
190,100,10,0.1,50,100,100,1,31
174,100,10,0.1,50,100,100,1,32
180,100,10,0.1,50,100,100,1,20
166,100,10,0.1,50,100,100,1,27
193,100,10,0.1,50,100,100,1,29
195,100,10,0.1,50,100,100,1,32
196,100,10,0.1,50,100,100,1,27
198,100,10,0.1,50,100,100,1,23
197,100,10,0.1,50,100,100,1,26
200,100,10,0.1,50,100,100,1,30
202,100,10,0.2,50,100,100,1,30
177,100,10,0.1,50,100,100,1,26
201,100,10,0.2,50,100,100,1,40
203,100,10,0.2,50,100,100,1,36
194,100,10,0.1,50,100,100,1,26
185,100,10,0.1,50,100,100,1,26
209,100,10,0.2,50,100,100,1,27
207,100,10,0.2,50,100,100,1,38
210,100,10,0.2,50,100,100,1,32
211,100,10,0.2,50,100,100,1,30
208,100,10,0.2,50,100,100,1,31
212,100,10,0.2,50,100,100,1,28
213,100,10,0.2,50,100,100,1,37
215,100,10,0.2,50,100,100,1,33
199,100,10,0.1,50,100,100,1,32
205,100,10,0.2,50,100,100,1,24
206,100,10,0.2,50,100,100,1,28
204,100,10,0.2,50,100,100,1,38
216,100,10,0.2,50,100,100,1,35
222,100,10,0.2,50,100,100,1,28
224,100,10,0.2,50,100,100,1,25
