[run number],number-of-tasks,vicinity-radius,dependence-exponent,number-of-people,willingness-to-help,initial-patience,self-conscious-coeff,[step]
148,100,10,0.5,1,100,100,1,488
146,100,10,0.5,1,100,100,1,478
149,100,10,0.5,1,100,100,1,506
153,100,10,0.5,1,100,100,1,464
151,100,10,0.5,1,100,100,1,477
156,100,10,0.5,1,100,100,1,479
150,100,10,0.5,1,100,100,1,513
152,100,10,0.5,1,100,100,1,496
155,100,10,0.5,1,100,100,1,440
154,100,10,0.5,1,100,100,1,455
158,100,10,0.5,1,100,100,1,475
159,100,10,0.5,1,100,100,1,510
160,100,10,0.5,1,100,100,1,477
157,100,10,0.5,1,100,100,1,487
165,100,10,0.5,1,100,100,1,475
162,100,10,0.5,1,100,100,1,489
166,100,10,0.5,1,100,100,1,450
163,100,10,0.5,1,100,100,1,486
164,100,10,0.5,1,100,100,1,455
168,100,10,0.5,1,100,100,1,501
174,100,10,0.5,1,100,100,1,488
171,100,10,0.5,1,100,100,1,479
161,100,10,0.5,1,100,100,1,484
167,100,10,0.5,1,100,100,1,468
170,100,10,0.5,1,100,100,1,492
173,100,10,0.5,1,100,100,1,499
169,100,10,0.5,1,100,100,1,493
175,100,10,0.5,1,100,100,1,502
172,100,10,0.5,1,100,100,1,526
177,100,10,0.5,1,100,100,1,460
176,100,10,0.5,1,100,100,1,470
179,100,10,0.5,1,100,100,1,483
178,100,10,0.5,1,100,100,1,470
182,100,10,0.5,1,100,100,1,462
183,100,10,0.5,1,100,100,1,501
184,100,10,0.5,1,100,100,1,457
181,100,10,0.5,1,100,100,1,471
180,100,10,0.5,1,100,100,1,475
185,100,10,0.5,1,100,100,1,470
188,100,10,0.5,1,100,100,1,494
186,100,10,0.5,1,100,100,1,505
187,100,10,0.5,1,100,100,1,474
190,100,10,0.5,1,100,100,1,468
189,100,10,0.5,1,100,100,1,502
192,100,10,0.5,1,100,100,1,481
194,100,10,0.5,1,100,100,1,484
191,100,10,0.5,1,100,100,1,498
197,100,10,0.5,1,100,100,1,489
195,100,10,0.5,1,100,100,1,443
196,100,10,0.5,1,100,100,1,481
193,100,10,0.5,1,100,100,1,455
198,100,10,0.5,1,100,100,1,476
199,100,10,0.5,1,100,100,1,458
202,100,10,0.5,1,100,100,1.5,453
205,100,10,0.5,1,100,100,1.5,483
201,100,10,0.5,1,100,100,1.5,458
203,100,10,0.5,1,100,100,1.5,478
200,100,10,0.5,1,100,100,1,455
204,100,10,0.5,1,100,100,1.5,514
207,100,10,0.5,1,100,100,1.5,468
210,100,10,0.5,1,100,100,1.5,473
208,100,10,0.5,1,100,100,1.5,480
212,100,10,0.5,1,100,100,1.5,477
211,100,10,0.5,1,100,100,1.5,509
209,100,10,0.5,1,100,100,1.5,450
206,100,10,0.5,1,100,100,1.5,458
214,100,10,0.5,1,100,100,1.5,495
213,100,10,0.5,1,100,100,1.5,487
215,100,10,0.5,1,100,100,1.5,481
216,100,10,0.5,1,100,100,1.5,510
217,100,10,0.5,1,100,100,1.5,473
218,100,10,0.5,1,100,100,1.5,450
223,100,10,0.5,1,100,100,1.5,459
224,100,10,0.5,1,100,100,1.5,485
221,100,10,0.5,1,100,100,1.5,462
222,100,10,0.5,1,100,100,1.5,511
220,100,10,0.5,1,100,100,1.5,469
219,100,10,0.5,1,100,100,1.5,499
225,100,10,0.5,1,100,100,1.5,492
226,100,10,0.5,1,100,100,1.5,485
227,100,10,0.5,1,100,100,1.5,477
229,100,10,0.5,1,100,100,1.5,499
228,100,10,0.5,1,100,100,1.5,474
232,100,10,0.5,1,100,100,1.5,455
230,100,10,0.5,1,100,100,1.5,468
233,100,10,0.5,1,100,100,1.5,504
234,100,10,0.5,1,100,100,1.5,477
231,100,10,0.5,1,100,100,1.5,495
235,100,10,0.5,1,100,100,1.5,502
236,100,10,0.5,1,100,100,1.5,472
238,100,10,0.5,1,100,100,1.5,472
241,100,10,0.5,1,100,100,1.5,454
239,100,10,0.5,1,100,100,1.5,492
240,100,10,0.5,1,100,100,1.5,478
237,100,10,0.5,1,100,100,1.5,462
242,100,10,0.5,1,100,100,1.5,460
243,100,10,0.5,1,100,100,1.5,452
