[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
174,100,10,1,1,47,100,80,76
177,100,10,1,1,53,100,80,62
179,100,10,1,1,57,100,80,63
178,100,10,1,1,55,100,80,58
180,100,10,1,1,59,100,80,62
181,100,10,1,1,61,100,80,52
186,100,10,1,1,71,100,80,41
183,100,10,1,1,65,100,80,62
185,100,10,1,1,69,100,80,65
184,100,10,1,1,67,100,80,54
182,100,10,1,1,63,100,80,72
188,100,10,1,1,75,100,80,66
187,100,10,1,1,73,100,80,55
189,100,10,1,1,77,100,80,57
190,100,10,1,1,79,100,80,53
192,100,10,1,1,83,100,80,61
191,100,10,1,1,81,100,80,52
195,100,10,1,1,89,100,80,54
193,100,10,1,1,85,100,80,65
196,100,10,1,1,91,100,80,59
194,100,10,1,1,87,100,80,61
199,100,10,1,1,97,100,80,47
197,100,10,1,1,93,100,80,61
200,100,10,1,1,99,100,80,46
198,100,10,1,1,95,100,80,58
209,100,10,1,1,17,100,100,60
206,100,10,1,1,11,100,100,75
210,100,10,1,1,19,100,100,67
208,100,10,1,1,15,100,100,105
204,100,10,1,1,7,100,100,112
205,100,10,1,1,9,100,100,94
207,100,10,1,1,13,100,100,86
211,100,10,1,1,21,100,100,69
212,100,10,1,1,23,100,100,62
151,100,10,1,1,1,100,80,517
213,100,10,1,1,25,100,100,64
203,100,10,1,1,5,100,100,145
215,100,10,1,1,29,100,100,58
214,100,10,1,1,27,100,100,75
217,100,10,1,1,33,100,100,55
218,100,10,1,1,35,100,100,48
220,100,10,1,1,39,100,100,49
219,100,10,1,1,37,100,100,63
221,100,10,1,1,41,100,100,52
224,100,10,1,1,47,100,100,60
202,100,10,1,1,3,100,100,194
222,100,10,1,1,43,100,100,50
223,100,10,1,1,45,100,100,53
226,100,10,1,1,51,100,100,46
225,100,10,1,1,49,100,100,48
216,100,10,1,1,31,100,100,123
227,100,10,1,1,53,100,100,56
228,100,10,1,1,55,100,100,61
230,100,10,1,1,59,100,100,45
229,100,10,1,1,57,100,100,51
231,100,10,1,1,61,100,100,53
