,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
80,100.0,5.0,1.0,1.0,61.0,100.0,50.0,40.99
81,100.0,5.0,1.0,1.0,63.0,100.0,50.0,40.12
82,100.0,5.0,1.0,1.0,65.0,100.0,50.0,39.04
83,100.0,5.0,1.0,1.0,67.0,100.0,50.0,39.48
84,100.0,5.0,1.0,1.0,69.0,100.0,50.0,38.24
85,100.0,5.0,1.0,1.0,71.0,100.0,50.0,38.28
86,100.0,5.0,1.0,1.0,73.0,100.0,50.0,38.18
87,100.0,5.0,1.0,1.0,75.0,100.0,50.0,38.18
88,100.0,5.0,1.0,1.0,77.0,100.0,50.0,37.11
89,100.0,5.0,1.0,1.0,79.0,100.0,50.0,37.59
90,100.0,5.0,1.0,1.0,81.0,100.0,50.0,37.16
91,100.0,5.0,1.0,1.0,83.0,100.0,50.0,37.49
92,100.0,5.0,1.0,1.0,85.0,100.0,50.0,37.14
93,100.0,5.0,1.0,1.0,87.0,100.0,50.0,36.65
94,100.0,5.0,1.0,1.0,89.0,100.0,50.0,36.23
95,100.0,5.0,1.0,1.0,91.0,100.0,50.0,36.61
96,100.0,5.0,1.0,1.0,93.0,100.0,50.0,36.07
97,100.0,5.0,1.0,1.0,95.0,100.0,50.0,35.83
98,100.0,5.0,1.0,1.0,97.0,100.0,50.0,37.7
99,100.0,5.0,1.0,1.0,99.0,100.0,50.0,36.45
100,100.0,10.0,1.0,1.0,7.0,100.0,50.0,164.47
101,100.0,10.0,1.0,1.0,5.0,100.0,50.0,190.0
102,100.0,10.0,1.0,1.0,3.0,100.0,50.0,273.2
103,100.0,10.0,1.0,1.0,1.0,100.0,50.0,574.07
104,100.0,10.0,1.0,1.0,9.0,100.0,50.0,143.48
105,100.0,10.0,1.0,1.0,11.0,100.0,50.0,133.14
106,100.0,10.0,1.0,1.0,13.0,100.0,50.0,124.47
107,100.0,10.0,1.0,1.0,15.0,100.0,50.0,115.08
108,100.0,10.0,1.0,1.0,17.0,100.0,50.0,109.92
109,100.0,10.0,1.0,1.0,19.0,100.0,50.0,106.3
110,100.0,10.0,1.0,1.0,21.0,100.0,50.0,98.98
111,100.0,10.0,1.0,1.0,23.0,100.0,50.0,98.54
112,100.0,10.0,1.0,1.0,25.0,100.0,50.0,98.92
113,100.0,10.0,1.0,1.0,27.0,100.0,50.0,93.82
114,100.0,10.0,1.0,1.0,29.0,100.0,50.0,91.23
115,100.0,10.0,1.0,1.0,31.0,100.0,50.0,90.27
116,100.0,10.0,1.0,1.0,33.0,100.0,50.0,89.68
117,100.0,10.0,1.0,1.0,35.0,100.0,50.0,91.66
118,100.0,10.0,1.0,1.0,37.0,100.0,50.0,87.06
119,100.0,10.0,1.0,1.0,39.0,100.0,50.0,86.96
120,100.0,10.0,1.0,1.0,41.0,100.0,50.0,87.12
121,100.0,10.0,1.0,1.0,43.0,100.0,50.0,84.63
122,100.0,10.0,1.0,1.0,45.0,100.0,50.0,85.05
123,100.0,10.0,1.0,1.0,47.0,100.0,50.0,84.47
124,100.0,10.0,1.0,1.0,49.0,100.0,50.0,82.72
