[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
178,100,10,1,1,55,50,50,64
180,100,10,1,1,59,50,50,66
179,100,10,1,1,57,50,50,85
176,100,10,1,1,51,50,50,85
174,100,10,1,1,47,50,50,87
181,100,10,1,1,61,50,50,76
182,100,10,1,1,63,50,50,75
184,100,10,1,1,67,50,50,73
183,100,10,1,1,65,50,50,87
186,100,10,1,1,71,50,50,83
188,100,10,1,1,75,50,50,71
185,100,10,1,1,69,50,50,126
187,100,10,1,1,73,50,50,83
189,100,10,1,1,77,50,50,86
193,100,10,1,1,85,50,50,64
190,100,10,1,1,79,50,50,76
191,100,10,1,1,81,50,50,91
195,100,10,1,1,89,50,50,85
197,100,10,1,1,93,50,50,90
192,100,10,1,1,83,50,50,86
196,100,10,1,1,91,50,50,77
194,100,10,1,1,87,50,50,91
199,100,10,1,1,97,50,50,72
198,100,10,1,1,95,50,50,84
200,100,10,1,1,99,50,50,85
206,100,10,1,1,11,100,50,81
210,100,10,1,1,19,100,50,96
208,100,10,1,1,15,100,50,99
204,100,10,1,1,7,100,50,170
209,100,10,1,1,17,100,50,118
212,100,10,1,1,23,100,50,90
211,100,10,1,1,21,100,50,111
207,100,10,1,1,13,100,50,146
151,100,10,1,1,1,50,50,597
205,100,10,1,1,9,100,50,187
213,100,10,1,1,25,100,50,88
214,100,10,1,1,27,100,50,81
215,100,10,1,1,29,100,50,84
203,100,10,1,1,5,100,50,196
216,100,10,1,1,31,100,50,84
218,100,10,1,1,35,100,50,71
220,100,10,1,1,39,100,50,76
219,100,10,1,1,37,100,50,79
217,100,10,1,1,33,100,50,86
221,100,10,1,1,41,100,50,70
224,100,10,1,1,47,100,50,65
225,100,10,1,1,49,100,50,75
223,100,10,1,1,45,100,50,88
228,100,10,1,1,55,100,50,78
227,100,10,1,1,53,100,50,85
222,100,10,1,1,43,100,50,86
226,100,10,1,1,51,100,50,100
230,100,10,1,1,59,100,50,86
202,100,10,1,1,3,100,50,356
229,100,10,1,1,57,100,50,88
233,100,10,1,1,65,100,50,60
232,100,10,1,1,63,100,50,87
234,100,10,1,1,67,100,50,69
237,100,10,1,1,73,100,50,66
235,100,10,1,1,69,100,50,82
231,100,10,1,1,61,100,50,89
236,100,10,1,1,71,100,50,92
238,100,10,1,1,75,100,50,70
240,100,10,1,1,79,100,50,79
239,100,10,1,1,77,100,50,85
242,100,10,1,1,83,100,50,72
243,100,10,1,1,85,100,50,74
241,100,10,1,1,81,100,50,84
244,100,10,1,1,87,100,50,69
245,100,10,1,1,89,100,50,71
246,100,10,1,1,91,100,50,76
247,100,10,1,1,93,100,50,77
248,100,10,1,1,95,100,50,73
250,100,10,1,1,99,100,50,73
249,100,10,1,1,97,100,50,79
255,100,10,1,1,9,200,50,119
259,100,10,1,1,17,200,50,90
260,100,10,1,1,19,200,50,85
257,100,10,1,1,13,200,50,128
258,100,10,1,1,15,200,50,143
261,100,10,1,1,21,200,50,89
256,100,10,1,1,11,200,50,154
262,100,10,1,1,23,200,50,105
263,100,10,1,1,25,200,50,83
254,100,10,1,1,7,200,50,219
264,100,10,1,1,27,200,50,87
253,100,10,1,1,5,200,50,187
265,100,10,1,1,29,200,50,84
266,100,10,1,1,31,200,50,94
269,100,10,1,1,37,200,50,83
267,100,10,1,1,33,200,50,80
201,100,10,1,1,1,100,50,576
268,100,10,1,1,35,200,50,85
270,100,10,1,1,39,200,50,66
252,100,10,1,1,3,200,50,281
271,100,10,1,1,41,200,50,78
272,100,10,1,1,43,200,50,77
275,100,10,1,1,49,200,50,70
273,100,10,1,1,45,200,50,98
278,100,10,1,1,55,200,50,68
274,100,10,1,1,47,200,50,90
279,100,10,1,1,57,200,50,78
277,100,10,1,1,53,200,50,79
281,100,10,1,1,61,200,50,78
276,100,10,1,1,51,200,50,99
280,100,10,1,1,59,200,50,87
283,100,10,1,1,65,200,50,66
286,100,10,1,1,71,200,50,76
285,100,10,1,1,69,200,50,77
284,100,10,1,1,67,200,50,68
282,100,10,1,1,63,200,50,85
289,100,10,1,1,77,200,50,68
287,100,10,1,1,73,200,50,80
288,100,10,1,1,75,200,50,83
292,100,10,1,1,83,200,50,73
290,100,10,1,1,79,200,50,92
291,100,10,1,1,81,200,50,85
295,100,10,1,1,89,200,50,70
296,100,10,1,1,91,200,50,81
297,100,10,1,1,93,200,50,69
294,100,10,1,1,87,200,50,93
293,100,10,1,1,85,200,50,82
298,100,10,1,1,95,200,50,81
300,100,10,1,1,99,200,50,69
299,100,10,1,1,97,200,50,96
303,100,10,1,1,5,5,50,177
305,100,10,1,1,9,5,50,138
304,100,10,1,1,7,5,50,169
251,100,10,1,1,1,200,50,602
306,100,10,1,1,11,5,50,136
302,100,10,1,1,3,5,50,237
309,100,10,1,1,17,5,50,118
308,100,10,1,1,15,5,50,132
312,100,10,1,1,23,5,50,106
307,100,10,1,1,13,5,50,148
314,100,10,1,1,27,5,50,99
310,100,10,1,1,19,5,50,137
311,100,10,1,1,21,5,50,122
315,100,10,1,1,29,5,50,120
313,100,10,1,1,25,5,50,142
316,100,10,1,1,31,5,50,120
318,100,10,1,1,35,5,50,114
317,100,10,1,1,33,5,50,138
322,100,10,1,1,43,5,50,115
320,100,10,1,1,39,5,50,139
324,100,10,1,1,47,5,50,103
321,100,10,1,1,41,5,50,151
325,100,10,1,1,49,5,50,107
323,100,10,1,1,45,5,50,114
319,100,10,1,1,37,5,50,150
329,100,10,1,1,57,5,50,99
326,100,10,1,1,51,5,50,116
327,100,10,1,1,53,5,50,135
330,100,10,1,1,59,5,50,112
328,100,10,1,1,55,5,50,141
331,100,10,1,1,61,5,50,127
332,100,10,1,1,63,5,50,110
334,100,10,1,1,67,5,50,119
335,100,10,1,1,69,5,50,116
333,100,10,1,1,65,5,50,130
338,100,10,1,1,75,5,50,103
337,100,10,1,1,73,5,50,118
336,100,10,1,1,71,5,50,113
339,100,10,1,1,77,5,50,106
340,100,10,1,1,79,5,50,118
