,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
80,100.0,10.0,1.0,1.0,21.0,20.0,50.0,99.28
81,100.0,10.0,1.0,1.0,21.0,50.0,50.0,102.06
82,100.0,10.0,1.0,1.0,21.0,100.0,50.0,103.55
83,100.0,10.0,1.0,1.0,21.0,200.0,50.0,101.93
84,100.0,10.0,1.0,1.0,33.0,5.0,50.0,125.21
85,100.0,10.0,1.0,1.0,33.0,10.0,50.0,97.69
86,100.0,10.0,1.0,1.0,33.0,20.0,50.0,90.23
87,100.0,10.0,1.0,1.0,33.0,50.0,50.0,93.27
88,100.0,10.0,1.0,1.0,33.0,100.0,50.0,90.91
89,100.0,10.0,1.0,1.0,33.0,200.0,50.0,89.79
90,100.0,10.0,1.0,1.0,35.0,5.0,50.0,124.98
91,100.0,10.0,1.0,1.0,35.0,10.0,50.0,97.65
92,100.0,10.0,1.0,1.0,35.0,20.0,50.0,87.53
93,100.0,10.0,1.0,1.0,35.0,50.0,50.0,89.88
94,100.0,10.0,1.0,1.0,35.0,100.0,50.0,87.75
95,100.0,10.0,1.0,1.0,35.0,200.0,50.0,90.21
96,100.0,10.0,1.0,1.0,3.0,5.0,50.0,277.37
97,100.0,10.0,1.0,1.0,3.0,10.0,50.0,261.1
98,100.0,10.0,1.0,1.0,3.0,20.0,50.0,266.13
99,100.0,10.0,1.0,1.0,3.0,50.0,50.0,269.43
100,100.0,10.0,1.0,1.0,3.0,100.0,50.0,271.39
101,100.0,10.0,1.0,1.0,3.0,200.0,50.0,268.69
102,100.0,10.0,1.0,1.0,43.0,5.0,50.0,122.93
103,100.0,10.0,1.0,1.0,43.0,10.0,50.0,97.17
104,100.0,10.0,1.0,1.0,43.0,20.0,50.0,87.11
105,100.0,10.0,1.0,1.0,43.0,50.0,50.0,86.31
106,100.0,10.0,1.0,1.0,43.0,100.0,50.0,84.89
107,100.0,10.0,1.0,1.0,43.0,200.0,50.0,86.87
108,100.0,10.0,1.0,1.0,37.0,5.0,50.0,124.61
109,100.0,10.0,1.0,1.0,37.0,10.0,50.0,96.38
110,100.0,10.0,1.0,1.0,37.0,20.0,50.0,88.67
111,100.0,10.0,1.0,1.0,37.0,50.0,50.0,87.22
112,100.0,10.0,1.0,1.0,37.0,100.0,50.0,89.94
113,100.0,10.0,1.0,1.0,37.0,200.0,50.0,90.18
114,100.0,10.0,1.0,1.0,39.0,5.0,50.0,122.2
115,100.0,10.0,1.0,1.0,39.0,10.0,50.0,96.38
116,100.0,10.0,1.0,1.0,39.0,20.0,50.0,85.16
117,100.0,10.0,1.0,1.0,39.0,50.0,50.0,88.22
118,100.0,10.0,1.0,1.0,39.0,100.0,50.0,87.81
119,100.0,10.0,1.0,1.0,39.0,200.0,50.0,89.27
120,100.0,10.0,1.0,1.0,41.0,5.0,50.0,121.5
121,100.0,10.0,1.0,1.0,41.0,10.0,50.0,96.1
122,100.0,10.0,1.0,1.0,41.0,20.0,50.0,86.08
123,100.0,10.0,1.0,1.0,41.0,50.0,50.0,87.71
124,100.0,10.0,1.0,1.0,41.0,100.0,50.0,84.09
125,100.0,10.0,1.0,1.0,41.0,200.0,50.0,87.27
126,100.0,10.0,1.0,1.0,45.0,5.0,50.0,120.52
127,100.0,10.0,1.0,1.0,45.0,10.0,50.0,98.32
128,100.0,10.0,1.0,1.0,45.0,20.0,50.0,86.28
129,100.0,10.0,1.0,1.0,45.0,50.0,50.0,84.2
130,100.0,10.0,1.0,1.0,45.0,100.0,50.0,84.95
131,100.0,10.0,1.0,1.0,45.0,200.0,50.0,86.54
132,100.0,10.0,1.0,1.0,1.0,5.0,50.0,627.91
133,100.0,10.0,1.0,1.0,1.0,10.0,50.0,587.63
134,100.0,10.0,1.0,1.0,1.0,20.0,50.0,579.95
135,100.0,10.0,1.0,1.0,1.0,50.0,50.0,577.24
136,100.0,10.0,1.0,1.0,1.0,100.0,50.0,578.77
137,100.0,10.0,1.0,1.0,1.0,200.0,50.0,576.19
138,100.0,10.0,1.0,1.0,51.0,5.0,50.0,120.22
139,100.0,10.0,1.0,1.0,51.0,10.0,50.0,95.22
140,100.0,10.0,1.0,1.0,51.0,20.0,50.0,83.77
141,100.0,10.0,1.0,1.0,51.0,50.0,50.0,83.89
142,100.0,10.0,1.0,1.0,51.0,100.0,50.0,83.51
143,100.0,10.0,1.0,1.0,51.0,200.0,50.0,85.87
144,100.0,10.0,1.0,1.0,61.0,5.0,50.0,117.34
145,100.0,10.0,1.0,1.0,61.0,10.0,50.0,95.97
146,100.0,10.0,1.0,1.0,61.0,20.0,50.0,82.99
147,100.0,10.0,1.0,1.0,61.0,50.0,50.0,81.9
148,100.0,10.0,1.0,1.0,61.0,100.0,50.0,82.17
149,100.0,10.0,1.0,1.0,61.0,200.0,50.0,82.05
150,100.0,10.0,1.0,1.0,63.0,5.0,50.0,117.73
151,100.0,10.0,1.0,1.0,63.0,10.0,50.0,94.29
152,100.0,10.0,1.0,1.0,63.0,20.0,50.0,83.43
153,100.0,10.0,1.0,1.0,63.0,50.0,50.0,81.52
154,100.0,10.0,1.0,1.0,63.0,100.0,50.0,80.79
155,100.0,10.0,1.0,1.0,63.0,200.0,50.0,81.39
156,100.0,10.0,1.0,1.0,49.0,5.0,50.0,122.59
157,100.0,10.0,1.0,1.0,49.0,10.0,50.0,94.38
158,100.0,10.0,1.0,1.0,49.0,20.0,50.0,83.37
159,100.0,10.0,1.0,1.0,49.0,50.0,50.0,84.68
160,100.0,10.0,1.0,1.0,49.0,100.0,50.0,83.62
161,100.0,10.0,1.0,1.0,49.0,200.0,50.0,83.38
162,100.0,10.0,1.0,1.0,47.0,5.0,50.0,120.32
163,100.0,10.0,1.0,1.0,47.0,10.0,50.0,96.63
164,100.0,10.0,1.0,1.0,47.0,20.0,50.0,83.9
165,100.0,10.0,1.0,1.0,47.0,50.0,50.0,84.26
166,100.0,10.0,1.0,1.0,47.0,100.0,50.0,85.52
167,100.0,10.0,1.0,1.0,47.0,200.0,50.0,86.83
168,100.0,10.0,1.0,1.0,57.0,5.0,50.0,118.06
169,100.0,10.0,1.0,1.0,57.0,10.0,50.0,94.59
170,100.0,10.0,1.0,1.0,57.0,20.0,50.0,83.26
171,100.0,10.0,1.0,1.0,57.0,50.0,50.0,82.27
172,100.0,10.0,1.0,1.0,57.0,100.0,50.0,81.85
173,100.0,10.0,1.0,1.0,57.0,200.0,50.0,82.63
174,100.0,10.0,1.0,1.0,67.0,5.0,50.0,118.35
175,100.0,10.0,1.0,1.0,67.0,10.0,50.0,93.16
176,100.0,10.0,1.0,1.0,67.0,20.0,50.0,81.64
177,100.0,10.0,1.0,1.0,67.0,50.0,50.0,80.22
178,100.0,10.0,1.0,1.0,67.0,100.0,50.0,80.32
179,100.0,10.0,1.0,1.0,67.0,200.0,50.0,82.23
180,100.0,10.0,1.0,1.0,71.0,5.0,50.0,115.91
181,100.0,10.0,1.0,1.0,71.0,10.0,50.0,94.54
182,100.0,10.0,1.0,1.0,71.0,20.0,50.0,81.31
183,100.0,10.0,1.0,1.0,71.0,50.0,50.0,80.71
184,100.0,10.0,1.0,1.0,71.0,100.0,50.0,80.13
185,100.0,10.0,1.0,1.0,71.0,200.0,50.0,83.76
186,100.0,10.0,1.0,1.0,59.0,5.0,50.0,119.07
187,100.0,10.0,1.0,1.0,59.0,10.0,50.0,93.9
188,100.0,10.0,1.0,1.0,59.0,20.0,50.0,81.78
189,100.0,10.0,1.0,1.0,59.0,50.0,50.0,81.68
190,100.0,10.0,1.0,1.0,59.0,100.0,50.0,80.62
191,100.0,10.0,1.0,1.0,59.0,200.0,50.0,81.06
192,100.0,10.0,1.0,1.0,55.0,5.0,50.0,118.63
193,100.0,10.0,1.0,1.0,55.0,10.0,50.0,93.34
194,100.0,10.0,1.0,1.0,55.0,20.0,50.0,83.8
195,100.0,10.0,1.0,1.0,55.0,50.0,50.0,83.59
196,100.0,10.0,1.0,1.0,55.0,100.0,50.0,81.89
197,100.0,10.0,1.0,1.0,55.0,200.0,50.0,85.26
198,100.0,10.0,1.0,1.0,75.0,5.0,50.0,114.9
199,100.0,10.0,1.0,1.0,75.0,10.0,50.0,92.47
200,100.0,10.0,1.0,1.0,75.0,20.0,50.0,81.6
201,100.0,10.0,1.0,1.0,75.0,50.0,50.0,80.71
202,100.0,10.0,1.0,1.0,75.0,100.0,50.0,81.21
203,100.0,10.0,1.0,1.0,75.0,200.0,50.0,80.1
204,100.0,10.0,1.0,1.0,69.0,5.0,50.0,118.1
205,100.0,10.0,1.0,1.0,69.0,10.0,50.0,91.56
206,100.0,10.0,1.0,1.0,69.0,20.0,50.0,82.6
207,100.0,10.0,1.0,1.0,69.0,50.0,50.0,81.79
208,100.0,10.0,1.0,1.0,69.0,100.0,50.0,80.4
209,100.0,10.0,1.0,1.0,69.0,200.0,50.0,78.93
210,100.0,10.0,1.0,1.0,53.0,5.0,50.0,120.51
211,100.0,10.0,1.0,1.0,53.0,10.0,50.0,94.15
212,100.0,10.0,1.0,1.0,53.0,20.0,50.0,83.32
213,100.0,10.0,1.0,1.0,53.0,50.0,50.0,81.36
214,100.0,10.0,1.0,1.0,53.0,100.0,50.0,84.69
215,100.0,10.0,1.0,1.0,53.0,200.0,50.0,81.66
216,100.0,10.0,1.0,1.0,73.0,5.0,50.0,117.5
217,100.0,10.0,1.0,1.0,73.0,10.0,50.0,91.55
218,100.0,10.0,1.0,1.0,73.0,20.0,50.0,82.86
219,100.0,10.0,1.0,1.0,73.0,50.0,50.0,80.1
220,100.0,10.0,1.0,1.0,73.0,100.0,50.0,79.8
221,100.0,10.0,1.0,1.0,73.0,200.0,50.0,79.99
222,100.0,10.0,1.0,1.0,79.0,5.0,50.0,115.18
223,100.0,10.0,1.0,1.0,79.0,10.0,50.0,92.55
