,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
77,100.0,10.0,0.3,1.0,23.0,100.0,50.0,65.13
78,100.0,10.0,0.0,1.0,23.0,100.0,50.0,49.84
79,100.0,10.0,1.3000000000000003,1.0,23.0,100.0,50.0,115.03
80,100.0,10.0,1.0,1.0,23.0,100.0,50.0,96.28
81,100.0,10.0,0.6,1.0,23.0,100.0,50.0,80.57
82,100.0,10.0,1.5999999999999996,1.0,23.0,100.0,50.0,123.9
83,100.0,10.0,2.0,1.0,23.0,100.0,50.0,145.83
84,100.0,10.0,0.3,1.0,25.0,100.0,50.0,62.98
85,100.0,10.0,0.0,1.0,25.0,100.0,50.0,46.15
86,100.0,10.0,1.3000000000000003,1.0,25.0,100.0,50.0,114.63
87,100.0,10.0,1.0,1.0,25.0,100.0,50.0,97.04
88,100.0,10.0,0.6,1.0,25.0,100.0,50.0,75.13
89,100.0,10.0,1.5999999999999996,1.0,25.0,100.0,50.0,126.39
90,100.0,10.0,2.0,1.0,25.0,100.0,50.0,140.89
91,100.0,10.0,0.3,1.0,27.0,100.0,50.0,60.12
92,100.0,10.0,0.0,1.0,27.0,100.0,50.0,43.07
93,100.0,10.0,1.3000000000000003,1.0,27.0,100.0,50.0,113.05
94,100.0,10.0,1.0,1.0,27.0,100.0,50.0,93.09
95,100.0,10.0,0.6,1.0,27.0,100.0,50.0,73.66
96,100.0,10.0,1.5999999999999996,1.0,27.0,100.0,50.0,124.82
97,100.0,10.0,2.0,1.0,27.0,100.0,50.0,141.87
98,100.0,10.0,0.3,1.0,29.0,100.0,50.0,57.92
99,100.0,10.0,0.0,1.0,29.0,100.0,50.0,41.29
100,100.0,10.0,1.3000000000000003,1.0,29.0,100.0,50.0,107.15
101,100.0,10.0,1.0,1.0,29.0,100.0,50.0,92.6
102,100.0,10.0,0.6,1.0,29.0,100.0,50.0,73.54
103,100.0,10.0,1.5999999999999996,1.0,29.0,100.0,50.0,123.51
104,100.0,10.0,2.0,1.0,29.0,100.0,50.0,139.15
